City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,59.09,broken clouds,-33.65,115.3333,Observatory Guest House
3,Salalah,OM,73.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
4,Lompoc,US,86.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
5,East London,ZA,74.66,light rain,-33.0153,27.9116,Tu Casa
7,Ushuaia,AR,56.86,broken clouds,-54.8,-68.3,Albatross Hotel
8,Hasaki,JP,30.6,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
9,Rikitea,PF,79.03,clear sky,-23.1203,-134.9692,People ThankYou
14,Ketchikan,US,39.18,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
16,Hilo,US,77.79,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Punta Arenas,CL,57.31,clear sky,-53.15,-70.9167,Hotel Hain
20,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
22,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
23,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
24,Buraydah,SA,57.65,clear sky,26.326,43.975,فندق راحة السلام
25,Hermanus,ZA,66.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
27,Bethel,US,55.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
31,Mysliborz,PL,37.85,broken clouds,52.9238,14.8679,Villa Adria
32,Pasighat,IN,54.46,moderate rain,28.0667,95.3333,Siang Guest House
33,Muros,ES,55.83,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
35,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
36,Palembang,ID,73.76,overcast clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
38,Namatanai,PG,78.37,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
40,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
42,Bambous Virieux,MU,77.25,few clouds,-20.3428,57.7575,Casa Tia Villa
45,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
46,Mar Del Plata,AR,62.62,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
48,Butaritari,KI,81.46,broken clouds,3.0707,172.7902,Isles Sunset Lodge
49,Bubaque,GW,79.18,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
50,Auki,SB,75.31,heavy intensity rain,-8.7676,160.7034,Auki Motel
51,Rawson,AR,65.61,clear sky,-43.3002,-65.1023,Hosteria Sampedro
53,Apac,UG,74.75,overcast clouds,1.9756,32.5386,Double Duez Apac
54,Klaksvik,FO,38.32,overcast clouds,62.2266,-6.589,Airbnb rooms
55,Kankan,GN,80.62,clear sky,10.3854,-9.3057,Hotel Bate
56,Ravar,IR,53.64,clear sky,31.2656,56.8055,computertik
57,Hambantota,LK,77.11,overcast clouds,6.1241,81.1185,Bungalow 63
59,Quatre Cocos,MU,77.11,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
60,Dingle,PH,74.88,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
62,Bredasdorp,ZA,67.32,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
63,Bluff,NZ,58.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
64,Codrington,AU,51.76,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
65,Buxton,GB,39.49,overcast clouds,53.2574,-1.9098,Palace Hotel Buxton
69,Lebu,CL,61.83,clear sky,-37.6167,-73.65,Hostal Las Lilas
70,Kruisfontein,ZA,63.25,clear sky,-34.0033,24.7314,Oyster Bay House Rental
72,Victoria,HK,66.94,scattered clouds,22.2855,114.1577,Mini Hotel Central
74,Parana,AR,83.03,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
75,Guayaramerin,BO,90.43,moderate rain,-10.8368,-65.3614,Hostal Funf
76,Charlottesville,US,68.65,clear sky,38.0293,-78.4767,Hampton Inn & Suites Charlottesville-At The University
78,San Ramon,US,77.04,clear sky,37.7799,-121.978,San Ramon Marriott
81,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
82,Cidreira,BR,77.47,clear sky,-30.1811,-50.2056,Hotel Castelo
83,Cape Town,ZA,70.09,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
84,Hobart,AU,53.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
85,Kapaa,US,78.12,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Tateyama,JP,39.22,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
88,Pacific Grove,US,80.71,clear sky,36.6177,-121.9166,Lovers Point Inn
90,Visconde Do Rio Branco,BR,71.02,overcast clouds,-21.0103,-42.8406,Rio Branco palace hotel
91,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
94,Kilindoni,TZ,81.3,overcast clouds,-7.9139,39.6668,Bustani B&B
96,Brusyliv,UA,38.21,overcast clouds,50.2845,29.5263,Gnezdo house
97,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
98,Suicheng,CN,36.1,few clouds,33.8963,117.9331,Junyue Hotel
99,George Town,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
100,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
101,Glendale,US,79.52,clear sky,33.5387,-112.186,"Motel 6 Glendale, AZ"
102,Tomatlan,MX,87.35,clear sky,19.9333,-105.25,El Salvial
103,Marsa Matruh,EG,55.24,clear sky,31.3525,27.2453,Beau Site
104,Mount Gambier,AU,48.11,clear sky,-37.8333,140.7667,The Commodore
105,Port Hardy,CA,43.75,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
106,Dezhou,CN,34.09,broken clouds,37.4486,116.2925,Zhongtai International Hotel
109,Esperance,AU,73.24,moderate rain,-33.8667,121.9,Hospitality Esperance
110,Altamont,US,56.79,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
112,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
113,North Myrtle Beach,US,70.25,clear sky,33.816,-78.68,Avista Resort
114,New Norfolk,AU,52.92,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
115,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
116,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
117,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.0833,Scoop Guest House
118,Vestmannaeyjar,IS,35.17,overcast clouds,63.4427,-20.2734,Glamping & Camping
119,Bonoua,CI,83.82,few clouds,5.2741,-3.595,Hotel Bon Samaritian
120,Nouadhibou,MR,75.18,overcast clouds,20.931,-17.0347,El Medina
121,Mehamn,NO,31.91,snow,71.0357,27.8492,Mehamn Arctic Hotel AS
123,Fortuna,US,73.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
125,Castro,BR,72.28,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
126,Jamestown,US,54.72,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
129,Inhambane,MZ,75.42,few clouds,-23.865,35.3833,Oceano
131,Westport,US,56.91,clear sky,41.1415,-73.3579,The Westport Inn
