City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Busselton,-33.65,115.3333,59.09,90,54,4.27,AU,2022-02-11 20:23:20,broken clouds
1,Aykhal,66.0,111.5,-7.69,100,99,5.61,RU,2022-02-11 20:28:23,overcast clouds
2,Harnosand,62.6323,17.9379,26.6,71,100,11.97,SE,2022-02-11 20:28:23,overcast clouds
3,Salalah,17.0151,54.0924,73.49,60,20,3.44,OM,2022-02-11 20:28:24,few clouds
4,Lompoc,34.6391,-120.4579,86.68,27,0,4.61,US,2022-02-11 20:28:24,clear sky
5,East London,-33.0153,27.9116,74.66,85,100,6.15,ZA,2022-02-11 20:23:18,light rain
6,Nizhniy Kuranakh,58.8353,125.4869,-17.75,100,99,0.67,RU,2022-02-11 20:28:24,overcast clouds
7,Ushuaia,-54.8,-68.3,56.86,67,75,12.66,AR,2022-02-11 20:21:15,broken clouds
8,Hasaki,35.7333,140.8333,30.6,57,13,13.2,JP,2022-02-11 20:28:25,few clouds
9,Rikitea,-23.1203,-134.9692,79.03,73,4,16.28,PF,2022-02-11 20:23:38,clear sky
10,Thompson,55.7435,-97.8558,-12.84,53,0,8.05,CA,2022-02-11 20:28:25,clear sky
11,Leshukonskoye,64.8989,45.7622,21.04,96,100,6.42,RU,2022-02-11 20:28:26,light snow
12,Borogontsy,62.6683,131.1683,-38.13,100,90,1.57,RU,2022-02-11 20:28:26,overcast clouds
13,Beloha,-25.1667,45.05,74.59,90,55,12.91,MG,2022-02-11 20:28:26,broken clouds
14,Ketchikan,55.3422,-131.6461,39.18,87,100,4.61,US,2022-02-11 20:28:27,overcast clouds
15,Dikson,73.5069,80.5464,1.49,83,100,28.61,RU,2022-02-11 20:28:27,overcast clouds
16,Hilo,19.7297,-155.09,77.79,65,40,5.99,US,2022-02-11 20:24:41,scattered clouds
17,Luderitz,-26.6481,15.1594,78.48,61,100,16.15,NA,2022-02-11 20:23:46,overcast clouds
18,Puerto Ayora,-0.7393,-90.3518,82.36,87,91,4.0,EC,2022-02-11 20:28:27,overcast clouds
19,Punta Arenas,-53.15,-70.9167,57.31,62,0,32.21,CL,2022-02-11 20:23:19,clear sky
20,Sao Joao Da Barra,-21.6403,-41.0511,78.89,85,100,10.29,BR,2022-02-11 20:28:28,overcast clouds
21,Kommunisticheskiy,61.6789,64.4819,2.91,85,100,11.52,RU,2022-02-11 20:28:28,overcast clouds
22,San Cristobal,7.7669,-72.225,71.78,59,83,2.28,VE,2022-02-11 20:25:05,broken clouds
23,Saint-Philippe,-21.3585,55.7679,76.59,72,32,7.81,RE,2022-02-11 20:28:29,scattered clouds
24,Buraydah,26.326,43.975,57.65,32,0,13.8,SA,2022-02-11 20:24:27,clear sky
25,Hermanus,-34.4187,19.2345,66.9,88,0,5.57,ZA,2022-02-11 20:23:36,clear sky
26,Mataura,-46.1927,168.8643,58.48,78,93,5.1,NZ,2022-02-11 20:23:44,overcast clouds
27,Bethel,41.3712,-73.414,55.49,43,0,12.66,US,2022-02-11 20:23:36,clear sky
28,Upernavik,72.7868,-56.1549,-15.18,79,100,14.52,GL,2022-02-11 20:28:30,overcast clouds
29,Bijar,35.8668,47.6051,27.59,93,95,5.55,IR,2022-02-11 20:28:30,overcast clouds
30,Beringovskiy,63.05,179.3167,-28.48,96,42,8.97,RU,2022-02-11 20:28:30,scattered clouds
31,Mysliborz,52.9238,14.8679,37.85,80,74,11.97,PL,2022-02-11 20:28:31,broken clouds
32,Pasighat,28.0667,95.3333,54.46,87,97,3.42,IN,2022-02-11 20:28:31,moderate rain
33,Muros,42.7762,-9.0603,55.83,85,100,2.86,ES,2022-02-11 20:28:31,overcast clouds
34,Hofn,64.2539,-15.2082,29.39,80,100,20.42,IS,2022-02-11 20:27:07,overcast clouds
35,Vaini,-21.2,-175.2,82.56,89,20,6.91,TO,2022-02-11 20:23:40,few clouds
36,Palembang,-2.9167,104.7458,73.76,93,100,3.29,ID,2022-02-11 20:24:29,overcast clouds
37,Pangnirtung,66.1451,-65.7125,3.2,51,75,12.66,CA,2022-02-11 20:28:32,broken clouds
