City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tuktoyaktuk,69.4541,-133.0374,-20.2,69,75,16.11,CA,2022-02-11 18:26:18
1,Quatre Cocos,-20.2078,57.7625,78.91,80,90,4.47,MU,2022-02-11 18:26:18
2,Mayumba,-3.432,10.6554,78.31,87,85,5.57,GA,2022-02-11 18:26:19
3,Balkanabat,39.5108,54.3671,45.86,62,46,2.77,TM,2022-02-11 18:26:19
4,Mataura,-46.1927,168.8643,52.48,94,100,2.66,NZ,2022-02-11 18:26:20
5,Jamestown,42.097,-79.2353,51.12,45,100,17.27,US,2022-02-11 18:26:20
6,Rikitea,-23.1203,-134.9692,78.82,73,2,18.21,PF,2022-02-11 18:26:20
7,Dikson,73.5069,80.5464,3.92,85,100,28.03,RU,2022-02-11 18:26:21
8,Hermanus,-34.4187,19.2345,68.9,85,1,4.59,ZA,2022-02-11 18:26:21
9,New Norfolk,-42.7826,147.0587,50.92,67,1,2.26,AU,2022-02-11 18:26:21
10,San Carlos,9.6612,-68.5827,89.02,41,58,2.46,VE,2022-02-11 18:26:22
11,Bredasdorp,-34.5322,20.0403,67.32,77,0,3.44,ZA,2022-02-11 18:26:22
12,Ostrovnoy,68.0531,39.5131,20.5,92,98,11.05,RU,2022-02-11 18:26:22
13,Stykkisholmur,65.0757,-22.7297,24.28,84,100,9.66,IS,2022-02-11 18:26:23
14,Vuktyl,63.8567,57.3094,10.58,90,100,11.39,RU,2022-02-11 18:26:23
15,Sitka,57.0531,-135.33,39.09,81,100,10.36,US,2022-02-11 18:26:23
16,Busselton,-33.65,115.3333,61.09,89,28,4.65,AU,2022-02-11 18:26:24
17,Kavieng,-2.5744,150.7967,81.48,78,98,8.08,PG,2022-02-11 18:26:24
18,Husavik,66.0449,-17.3389,24.71,90,98,6.2,IS,2022-02-11 18:26:24
19,Thompson,55.7435,-97.8558,-20.04,57,0,8.05,CA,2022-02-11 18:26:25
20,Yellowknife,62.456,-114.3525,-12.59,82,75,4.61,CA,2022-02-11 18:26:25
21,Albany,42.6001,-73.9662,49.95,40,44,3.0,US,2022-02-11 18:26:25
22,Punta Arenas,-53.15,-70.9167,59.02,62,0,14.97,CL,2022-02-11 18:24:15
23,Sakhnovshchyna,49.1517,35.872,34.59,97,97,6.96,UA,2022-02-11 18:26:26
24,Ushuaia,-54.8,-68.3,55.06,67,40,26.46,AR,2022-02-11 18:26:26
25,Buraydah,26.326,43.975,61.25,31,0,13.4,SA,2022-02-11 18:21:41
26,Puerto Escondido,15.85,-97.0667,86.83,70,0,5.75,MX,2022-02-11 18:26:27
27,Kawalu,-7.3817,108.2082,73.4,92,98,1.59,ID,2022-02-11 18:26:27
28,Carnarvon,-24.8667,113.6333,80.67,74,75,4.61,AU,2022-02-11 18:26:27
29,Longyearbyen,78.2186,15.6401,21.04,86,75,3.44,SJ,2022-02-11 18:26:28
30,Bubaque,11.2833,-15.8333,79.77,63,29,14.83,GW,2022-02-11 18:26:28
31,Barrow,71.2906,-156.7887,-34.58,100,0,6.91,US,2022-02-11 18:26:29
32,Te Anau,-45.4167,167.7167,54.54,90,87,2.04,NZ,2022-02-11 18:26:29
33,Bukachacha,52.9833,116.9167,-17.05,98,28,4.07,RU,2022-02-11 18:26:29
34,Nikolskoye,59.7035,30.7861,28.8,90,91,8.79,RU,2022-02-11 18:26:29
35,Lavrentiya,65.5833,-171.0,-26.7,94,32,6.53,RU,2022-02-11 18:26:30
